date,price,market_cap,total_volume,coin_id,symbol
2025-12-16,127.70162570713056,71761324664.35858,5664789139.597919,solana,SOL
2025-12-17,128.8095625908113,72352928471.43684,4471455535.338424,solana,SOL
2025-12-18,123.08121963590442,69190855101.13805,5991785692.616783,solana,SOL
2025-12-19,119.47102833526988,67164501569.46828,6429346461.74471,solana,SOL
2025-12-20,126.1879023223493,70945765444.8513,5616521064.824057,solana,SOL
2025-12-21,125.78919713672443,70712904180.67732,1874498407.279519,solana,SOL
2025-12-22,126.01866473018241,70866740448.0251,2593618351.5364947,solana,SOL
2025-12-23,125.76066206540068,70709712071.75928,4107959590.6911936,solana,SOL
2025-12-24,123.9193038826096,69704070559.22852,3449135611.6053176,solana,SOL
2025-12-25,122.56774375278773,68951067341.39406,2590460582.9893656,solana,SOL
2025-12-26,120.09013792486492,67601569093.48973,2449069367.6865826,solana,SOL
2025-12-27,122.18760348085107,68749899193.13757,4206343443.092035,solana,SOL
2025-12-28,124.63847125670826,70060705784.7345,1903845564.1442995,solana,SOL
2025-12-29,125.19116108131975,70417541311.5998,2274998025.866254,solana,SOL
2025-12-30,123.09934938681572,69294749014.9203,5206138693.770085,solana,SOL
2025-12-31,124.85607450703749,70258329328.96147,3452065269.058434,solana,SOL
2026-01-01,124.5164171836461,70088211901.36029,3867698668.3454027,solana,SOL
2026-01-02,126.73481257128296,71412464990.55157,2664879770.7789636,solana,SOL
2026-01-03,132.0483994914527,74386824319.36295,4974468671.385098,solana,SOL
2026-01-04,133.28816839764232,75096961115.17924,2744139511.4650235,solana,SOL
2026-01-05,133.86037430010327,75408109505.69249,3302730567.102762,solana,SOL
2026-01-06,138.14624626670062,77857193610.8887,5820371010.09981,solana,SOL
2026-01-07,141.10228180261717,79507408301.68976,6358691083.473678,solana,SOL
2026-01-08,136.27267880262593,76895122140.73372,4282729414.3858867,solana,SOL
2026-01-09,138.2946068711558,78034797749.35843,5391114708.492818,solana,SOL
2026-01-10,135.84243943306166,76695827990.03171,5480506163.955695,solana,SOL
2026-01-11,135.80170404935623,76641936890.79468,1741084690.0364935,solana,SOL
2026-01-12,139.4276268849873,78706698603.54521,3419018211.6660347,solana,SOL
2026-01-13,139.1103423634471,78613645403.17773,6620955216.998631,solana,SOL
2026-01-14,145.09717589746134,81981991346.90428,8047083050.044898,solana,SOL
2026-01-15,146.70846905618052,82880393448.86893,6912090068.388402,solana,SOL
2026-01-16,142.27295549504774,80415403334.71544,4997355899.443064,solana,SOL
2026-01-17,144.82360113807155,81862130037.57964,3957207958.6767917,solana,SOL
2026-01-18,143.70920085761944,81270466792.49619,2020461664.9235215,solana,SOL
2026-01-19,138.5946736566872,78436917528.54514,3109392767.1241255,solana,SOL
2026-01-20,133.43360509528503,75486541005.88855,5368206627.398914,solana,SOL
2026-01-21,125.81062416788743,71176869803.27257,6120599149.8276615,solana,SOL
2026-01-22,129.33791858850012,73152926025.99269,5920873768.451463,solana,SOL
2026-01-23,128.22398381822603,72553217774.92729,3474685432.7283425,solana,SOL
2026-01-24,127.24900586659474,72000257943.84181,4037508318.9055634,solana,SOL
2026-01-25,127.04951352257324,71902047449.9125,1718383638.1534047,solana,SOL
2026-01-26,118.89050038610903,67334139605.105606,5664989178.023534,solana,SOL
2026-01-27,124.20384054241987,70367463149.6183,4633082596.320432,solana,SOL
2026-01-28,127.1523419223292,72041920240.84569,3973148773.7933435,solana,SOL
2026-01-29,125.04471508843886,70790637621.48843,3822310928.6863894,solana,SOL
2026-01-30,117.61753429620335,66594694435.65673,6228789001.774594,solana,SOL
2026-01-31,117.30168147280109,66428162827.350426,7242419430.231638,solana,SOL
2026-02-01,105.3546472133961,59663224525.85884,10199780344.194159,solana,SOL
2026-02-02,100.89974142414994,57210056897.21557,5980726033.0707655,solana,SOL
2026-02-03,104.51783551612739,59201126282.56551,7782942955.704701,solana,SOL
2026-02-04,97.61983239747126,55336080662.992,6137256412.2257185,solana,SOL
2026-02-05,92.2922393896508,52337083217.87731,7691167277.271055,solana,SOL
2026-02-06,78.50039816888382,44614281691.20345,11362345050.952269,solana,SOL
2026-02-07,87.57576306445752,49660819332.3869,12677917416.686546,solana,SOL
2026-02-08,87.6724462446035,49749127216.21578,5597873838.47702,solana,SOL
2026-02-09,87.04941449412165,49365296735.72767,3304072820.4419966,solana,SOL
2026-02-10,86.83640091013909,49295442233.11616,4465418533.922044,solana,SOL
2026-02-11,82.859350330399,47016025744.94477,3056871645.9416747,solana,SOL
2026-02-12,79.26902777120368,45053694679.361496,4300002945.332792,solana,SOL
