date,price,market_cap,total_volume,coin_id,symbol
2025-03-13,1910.6551381032464,230443739229.907,24499314730.70381,ethereum,ETH
2025-03-14,1862.7949366490388,224658866951.8703,19212414462.181553,ethereum,ETH
2025-03-15,1910.6662703455045,230476916425.01935,12949972214.265629,ethereum,ETH
2025-03-16,1939.7856881721348,233970291611.3664,6944891086.050841,ethereum,ETH
2025-03-17,1887.7643429692785,227688957214.28125,9486242392.181334,ethereum,ETH
2025-03-18,1929.1833577618722,232725366276.39935,11251166846.249075,ethereum,ETH
2025-03-19,1932.7964059050657,233152161415.72287,10887619567.393353,ethereum,ETH
2025-03-20,2060.728601068271,248434080718.19073,20374739988.65224,ethereum,ETH
2025-03-21,1980.831780524645,238984217654.16632,14303790085.616615,ethereum,ETH
2025-03-22,1964.5293833168294,236980043535.89395,9890112887.282015,ethereum,ETH
2025-03-23,1979.5449257665966,238753335160.5841,6195605844.536302,ethereum,ETH
2025-03-24,2001.0470230951883,241404254258.0785,7991413702.677865,ethereum,ETH
2025-03-25,2077.739325831977,250648654235.6259,15676451247.546822,ethereum,ETH
2025-03-26,2068.598435049149,249404519198.06433,12563169733.005245,ethereum,ETH
2025-03-27,2009.8835432902426,242347645799.6622,14024859854.906677,ethereum,ETH
2025-03-28,2003.3034241292064,241580699763.4796,12136188059.422693,ethereum,ETH
2025-03-29,1896.9173600459985,228784244898.24844,18419487648.39739,ethereum,ETH
2025-03-30,1829.2745211803463,220262156018.88525,12924117064.878807,ethereum,ETH
2025-03-31,1805.3378779435934,217784813538.97607,10056531345.160347,ethereum,ETH
2025-04-01,1824.2071367609847,219908040559.44638,17022367813.88877,ethereum,ETH
2025-04-02,1907.1671522994227,230031614721.63394,15899367803.5509,ethereum,ETH
2025-04-03,1795.761850567479,216667567217.00522,23450470660.978283,ethereum,ETH
2025-04-04,1818.2844199542053,219762279056.2319,16999031833.158594,ethereum,ETH
2025-04-05,1814.4807753449506,218925876283.93597,19459233591.298603,ethereum,ETH
2025-04-06,1809.935827172196,217957146409.9286,6780827627.545529,ethereum,ETH
2025-04-07,1574.6321611455576,190295586491.21872,23485484227.161697,ethereum,ETH
2025-04-08,1555.909812570873,188565143892.71408,49416724296.56089,ethereum,ETH
2025-04-09,1471.3608854365523,177496121145.5316,22451028357.384758,ethereum,ETH
2025-04-10,1662.5331604641576,200623016236.85327,41589589714.84994,ethereum,ETH
2025-04-11,1523.928624242526,183947227079.42554,20486375929.10568,ethereum,ETH
2025-04-12,1568.131690125936,189185664203.6754,14195085224.783228,ethereum,ETH
2025-04-13,1645.8625733156498,198696438258.60336,11756571644.476357,ethereum,ETH
2025-04-14,1595.4227460001084,192382635779.77805,13775001676.60885,ethereum,ETH
2025-04-15,1621.543195596693,195686083638.74744,15415724739.820591,ethereum,ETH
2025-04-16,1587.8222244021401,191837036865.40186,11786525215.180002,ethereum,ETH
2025-04-17,1577.7073516760117,190419833063.11868,13120084885.866234,ethereum,ETH
2025-04-18,1583.4764497002345,191135638825.23685,9437178720.867388,ethereum,ETH
2025-04-19,1589.1516208270755,191865697060.91525,5254078676.877919,ethereum,ETH
2025-04-20,1615.0502549158562,194945047366.35382,5148626529.402773,ethereum,ETH
2025-04-21,1585.4600253443446,191374869502.39386,6695768150.024456,ethereum,ETH
2025-04-22,1577.4465595922347,190376888818.46906,15275062279.387148,ethereum,ETH
2025-04-23,1759.7064599311093,212582611840.14056,24271980430.95098,ethereum,ETH
2025-04-24,1793.969849485534,216572719914.54987,22099177230.61867,ethereum,ETH
2025-04-25,1769.3925107354407,213593284213.58224,12923295609.972548,ethereum,ETH
2025-04-26,1788.7981804331257,215954892518.00418,15656748328.784924,ethereum,ETH
2025-04-27,1821.2695303291391,219830529458.7114,10293614895.776522,ethereum,ETH
2025-04-28,1793.6918440730135,216533502206.27112,9632458065.106846,ethereum,ETH
